yil	sigir	koyun	keci	toplam
2001	10548000	26972000	 7022000	44542000
2002	 9803498	25173706	 6780094	41757298
2003	 9788102	25431539	 6771675	41991316
2004	10069346	25201155	 6609937	41880438
2005	10526440	25304325	 6517464	42348229
2006	10871364	25616912	 6643294	43131570
2007	11036753	25462293	 6286358	42785404
2008	10859942	23974591	 5593561	40428094
2009	10723958	21749508	 5128285	37601751
2010	11369800	23089691	 6293233	40752724
2011	12386337	25031565	 7277953	44695855
2012	13914912	27425233	 8357286	49697431
2013	14415257	29284247	 9225548	52925052
2014	14223109	31140244	10344936	55708289
2015	13994071	31507934	10416166	55918171
2016	14080155	30983933	10345299	55409387
