"yil"	"kiret"	"sut"	"tavet"	"tavyum"	"bal"	"ipek"	"yapagi"	"kil"	"tiftik"
"1"	2001	435778	9495550	614745	10575046	60190	47	40909	2684	400
"2"	2002	420595	8408568	696187	11554910	74554	100	38244	2589	318
"3"	2003	366962	10611011	872419	12666782	69540	169	46456	2741	333
"4"	2004	447154	10679406	876774	11055557	73929	143	45972	2715	304
"5"	2005	409423	11107897	936697	12052455	82336	157	46176	2654	302
"6"	2006	438530	11952099	917659	11733572	83842	127	46776	2728	274
"7"	2007	575622	12329789	1068454	12724959	73935	125	46752	2536	237
"8"	2008	482458	12243040	1087682	13190696	81364	125	44166	2238	194
"9"	2009	412621	12542186	1293315	13832726	82003	136	40270	2002	174
"10"	2010	780718	13543674	1444059	11840396	81115	126	42823	2607	200
"11"	2011	776915	15056211	1613309	12954686	94245	151	46586	3062	194
"12"	2012	915844	17401262	1723919	14910774	89162	134	51180	3570	200
"13"	2013	996125	18223712	1758363	16496751	94694	121	54784	4902	260
"14"	2014	1008272	18630859	1894669	17145389	103525	80	58403	5460	280
"15"	2015	1149262	18654682	1909276	16727510	107665	66	59196	5569	325
"16"	2016	1173042	18489161	1879018	18097605	105727	103	62525	5445	341
